Dato,Antal Aktive minutter,Kalorier (kcal),Distance (m),Hjertepoint,Hjerteminutter,Gennemsnitlig hastighed (m/s),Højeste hastighed (m/s),Laveste hastighed (m/s),Antal skridt,Varighed af Gang (ms)
2021-05-15,49,222.15085172653198,2824.3265476226807,8.0,8,0.9532996779059274,1.2434663772583008,0.7482125163078308,4330,2882996
2021-05-16,44,188.97442317008972,2525.3503589630127,17.0,17,1.0707499594563963,1.4318571090698242,0.8524428009986877,3816,2452444
2021-05-17,73,328.6062123775482,6224.591285705566,66.0,66,1.3249209058609999,1.566609263420105,1.227186679840088,8444,4213435
2021-05-18,77,344.5570755004883,6487.13151550293,71.0,71,1.3648151755946267,1.5530177354812622,1.2364635467529297,8833,4442482
2021-05-19,31,139.66234171390533,2270.8532791137695,25.0,25,1.2250928056263173,1.4767998456954956,1.017238736152649,3248,1812489
2021-05-20,112,526.3975353240967,10290.606399536133,126.0,104,1.375264715716881,1.9723483324050903,1.2225850820541382,13592,6467881
2021-05-21,22,90.4636778831482,1544.7763137817383,16.0,16,1.3074949486155025,1.5103141069412231,1.1715952157974243,2176,1174006
2021-05-22,81,378.69596207141876,7541.8150935173035,78.0,78,1.370315868289126,1.6659806966781616,1.0843820571899414,10014,4776983
2021-05-23,100,461.38046646118164,9086.108337402344,99.0,99,1.4926224682394984,1.5367918014526367,1.3984298706054688,12205,5954990
2021-05-24,93,439.937863945961,8566.73235321045,92.0,92,1.4001986472167813,1.632869005203247,0.6706271171569824,11473,5574040
2021-05-25,63,293.64627438783646,5773.92183971405,62.0,62,1.2195511979023081,1.609002947807312,0.7828262448310852,7740,3768274
2021-05-26,33,140.34197235107422,2204.486270904541,16.0,16,1.2257923632244327,1.4671565294265747,0.9256256818771362,3186,1821309
2021-05-27,76,351.1049509048462,6082.959801673889,69.0,68,1.1653154369828471,1.700039267539978,0.7453736066818237,8505,4551193
2021-05-28,93,427.896520614624,7956.861511230469,87.0,87,1.3052856954567011,1.5373655557632446,0.7254472374916077,10867,5536187
2021-05-29,142,662.0412865877151,13170.750778198242,139.0,139,1.5079462342652075,1.6103161573410034,1.1275824308395386,17550,8427731
2021-05-30,112,520.7301226854324,10242.63453578949,111.0,111,1.3260276167083023,1.5743733644485474,0.7095386385917664,13752,6705810
2021-05-31,87,393.96758222579956,7350.8462562561035,78.0,78,1.2700393510214771,1.5748203992843628,1.0534954071044922,10006,5045128
2021-06-01,101,455.1979848742485,8518.044952869415,94.0,94,1.3210041390517773,1.5313537120819092,0.9523352384567261,11647,5904753
2021-06-02,30,129.57222139835358,2138.673424720764,23.0,23,1.2188318094540858,1.4827537536621094,0.7262700200080872,3037,1681543
2021-06-03,101,452.5184803009033,8272.496881484985,92.0,92,1.263398784955485,1.5493813753128052,0.7183467745780945,11366,5839134
2021-06-04,102,479.8097468316555,9532.794481277466,101.0,101,1.154663259788547,1.6042624711990356,0.6500735878944397,12709,6112806
2021-06-05,117,541.0428900718689,9545.712852478027,87.0,87,1.0329811481981366,1.5976454019546509,0.7242971062660217,13066,6896030
2021-06-06,73,328.5751974582672,4983.058372497559,47.0,47,1.006627094342744,1.4277188777923584,0.7199692130088806,7250,4264134
2021-06-07,93,417.15610551834106,6231.678726196289,53.0,53,1.1526798232891429,1.463597297668457,0.6522369980812073,8911,5413706
2021-06-08,86,397.50775718688965,7447.290176391602,81.0,81,1.3042917381915289,1.599904179573059,1.1345490217208862,10146,5116481
2021-06-09,74,336.3234248161316,6066.893966674805,68.0,68,1.3044958265869315,1.529600977897644,1.2075424194335938,8393,4361486
2021-06-10,135,618.494093298912,11952.637981414795,127.0,127,1.3213053295670174,1.6203551292419434,1.149137258529663,16056,7860779
2021-06-11,33,141.63860595226288,2186.797417163849,22.0,21,1.2081429732183537,1.7873889207839966,0.7115591764450073,3154,1824055
2021-06-12,170,783.4574151039124,13879.48042678833,158.0,158,1.188518853095111,1.5776623487472534,0.6668700575828552,19253,10093419
2021-06-13,99,454.24664068222046,7420.850315093994,80.0,80,0.9979990475411665,1.4488829374313354,0.7811805605888367,10570,5895054
2021-06-14,88,396.7859892845154,7284.04903793335,82.0,82,1.2832358545734843,1.4985558986663818,1.1493277549743652,10023,5149350
2021-06-15,59,262.77430391311646,4790.320163726807,51.0,51,1.2183712864847935,1.5690170526504517,0.723431408405304,6589,3397879
2021-06-16,93,432.6388692855835,8303.56706237793,90.0,90,1.32417557533209,1.5696089267730713,1.2330210208892822,11205,5532856
2021-06-17,129,598.409626185894,11226.267992019653,127.0,127,1.1314422319787154,1.514473795890808,0.7640426158905029,15333,7765951
2021-06-18,100,444.8499159812927,8395.651672363281,92.0,92,1.422643544108291,1.5261340141296387,1.3171229362487793,11455,5772906
2021-06-19,114,534.6542892456055,9534.295755386353,119.0,99,1.4550092055726904,2.625025987625122,1.0184543132781982,13016,6702364
2021-06-20,79,356.5604353547096,6668.707571983337,75.0,75,1.1798139289722147,1.51766836643219,0.8619357943534851,9116,4626769
2021-06-21,37,162.5691111087799,2491.3316011428833,23.0,23,1.176974010747852,1.3898714780807495,0.7862248420715332,3619,2109765
2021-06-22,89,408.16078066825867,6209.621837615967,49.0,49,0.9736026389051643,1.4664767980575562,0.7741183638572693,8972,5296968
2021-06-23,210,958.0221300125122,17615.997173309326,189.0,189,1.162452257774253,1.5115872621536255,0.843507707118988,24191,12432876
2021-06-24,26,117.7352557182312,1938.725357055664,23.0,23,1.2706756868258662,1.3526538610458374,0.9910484552383423,2763,1527927
2021-06-25,136,600.2385485172272,11230.961848258972,124.0,124,1.3423419126278509,1.5158131122589111,1.1946442127227783,15362,7789686
2021-06-26,137,633.5415685772896,12017.46621131897,132.0,132,1.257251334882358,1.6013069152832031,0.7379007339477539,16295,8137914
2021-06-27,77,351.12843132019043,6771.584922790527,69.0,69,1.3599929052731305,1.579174518585205,0.8359218239784241,9155,4556822
2021-06-28,91,416.88891929388046,8156.692361831665,89.0,89,1.5054849799791514,1.548022747039795,1.4363317489624023,11000,5410239
2021-06-29,28,111.79103636741638,1875.6050567626953,19.0,19,1.2541692682787975,1.4395642280578613,0.7586985230445862,2655,1450785
2021-06-30,21,95.59288167953491,1585.5554733276367,18.0,18,1.2709803218492004,1.3639847040176392,1.1543521881103516,2255,1240571
2021-07-01,122,546.0137998461723,10195.255696296692,113.0,113,1.2838610033647138,1.589955449104309,0.7814766764640808,13945,7085976
2021-07-02,46,213.05782616138458,2474.8467893600464,1.0,1,0.9033974210264039,1.3714631795883179,0.6202978491783142,3890,2764990
2021-07-03,137,626.5517100095749,9626.837356686592,53.0,53,0.9241392912189283,1.553473711013794,0.660625696182251,13901,8131169
2021-07-04,82,378.25700283050537,5555.102430343628,40.0,40,1.0273777597099778,1.3830784559249878,0.7179997563362122,8153,4908887
2021-07-05,127,569.9320724010468,9711.593095302582,116.0,116,1.2962585622459313,1.5445868968963623,1.1319379806518555,13691,7396379
2021-07-06,86,390.03616762161255,7331.446556091309,82.0,82,1.3254578956656002,1.5408803224563599,0.7129395008087158,10006,5061753
2021-07-07,85,372.8281978368759,7011.537038803101,89.0,76,1.287864939008483,1.6521878242492676,0.9169349670410156,9568,4838434
2021-07-08,57,254.25350165367126,4456.798236846924,51.0,51,1.2663634651900966,1.4980872869491577,1.1328744888305664,6224,3299613
2021-07-09,98,438.29813385009766,7452.646279335022,85.0,85,1.201671767033995,1.4108039140701294,0.9234920144081116,10505,5688080
2021-07-10,60,265.44758719205856,3676.6965770721436,29.0,29,0.9532084133389948,1.3966364860534668,0.7460757493972778,5478,3444886
2021-07-11,120,535.5199062824249,6746.398220062256,1.0,1,0.9753796998673425,1.1551681756973267,0.8140171766281128,10436,6949790
2021-07-12,155,715.5841770172119,9393.18348789215,46.0,46,0.9832199618902722,1.3458759784698486,0.7058064341545105,14269,9286601
2021-07-13,161,724.0204849243164,10004.367546081543,46.0,46,0.9807693874958107,1.3464375734329224,0.7700339555740356,14989,9396085
2021-07-14,111,503.0601043701172,7283.329990386963,37.0,37,0.9977738956493818,1.4492055177688599,0.7753197550773621,10753,6528538
2021-07-15,120,545.6426947116852,7056.052627563477,1.0,1,0.9835127197146923,1.2942185401916504,0.8470914363861084,10829,7081160
2021-07-16,122,552.9176630973816,8136.072177886963,45.0,45,1.0590972814638968,1.3700979948043823,0.8923118114471436,11976,7175572
2021-07-17,106,471.8773217201233,7111.83779335022,36.0,36,1.0713124133614431,1.4864166975021362,0.8698732852935791,10375,6123859
2021-07-18,90,403.5395483970642,7244.845582485199,72.0,72,1.1290289805889597,1.5138683319091797,0.8450731039047241,10013,5236995
2021-07-19,103,470.82953691482544,8725.542533874512,100.0,100,1.2999163765049995,1.4988855123519897,0.7186620235443115,11964,6110261
2021-07-20,29,132.6536636352539,2449.733501434326,28.0,28,1.1223556697368622,1.4381248950958252,0.8065864443778992,3363,1721533
2021-07-21,84,386.2656841278076,7409.5675048828125,82.0,82,1.4514910541386634,1.5068354606628418,1.134478211402893,10054,5012821
2021-07-22,80,370.70640563964844,7532.726867675781,134.0,80,1.5389885066999258,1.6875907182693481,1.2633596658706665,10011,4810898
2021-07-23,87,397.3986836671829,8115.435753822327,101.0,85,1.606910538019154,1.7792599201202393,1.432100534439087,10783,5157301
2021-07-24,153,706.6938685774803,12976.463859558105,144.0,144,1.3776396909937487,1.4917726516723633,0.7261862754821777,17800,9171226
2021-07-25,78,356.88858222961426,6688.5462646484375,76.0,76,1.456057559126085,1.6330327987670898,1.385177493095398,9147,4631575
2021-07-26,61,277.73129653930664,5731.9547119140625,69.0,59,1.693159282207489,1.8495264053344727,1.5367921590805054,7589,3604300
2021-07-27,100,461.96661901474,8739.210983276367,99.0,99,1.355668899405419,1.4842796325683594,0.6865789294242859,11905,5995241
2021-07-28,80,368.3932715654373,7189.266063213348,79.0,79,1.5053170323371885,1.5141072273254395,1.496526837348938,9704,4780879
2021-07-29,79,360.63584899902344,6978.3228759765625,77.0,77,1.49329801828302,1.5043421983718872,1.4763495922088623,9446,4680206
2021-07-30,79,366.2146780490875,6704.961336135864,78.0,78,1.1258115276651384,1.438693642616272,0.6853693723678589,9237,4752606
2021-07-31,71,326.8060853481293,6018.923972606659,69.0,69,1.1434241085189036,1.4347341060638428,0.855209469795227,8277,4241175
2021-08-01,259,1172.6964721679688,19516.400341033936,242.0,242,1.1776511700041503,1.4180208444595337,0.8097283840179443,27720,15218845
2021-08-02,90,420.0262503027916,7456.9462995529175,90.0,90,1.065990149868945,1.3970580101013184,0.6421478986740112,10375,5450954
2021-08-03,13,56.497742891311646,777.765790939331,7.0,7,0.8948753832168974,1.2815380096435547,0.7025432586669922,1141,733208
2021-08-04,48,216.64554005861282,3249.8849577903748,30.0,30,1.1240490307208435,1.3284485340118408,0.708736777305603,4755,2811550
2021-08-05,97,444.91297113895416,8105.963634490967,92.0,92,1.1640797386123276,1.4477473497390747,0.8625034093856812,11180,5773925
2021-08-06,44,192.1726951301098,2668.224169254303,11.0,11,1.0551252865024534,1.3883923292160034,0.8397005796432495,3987,2493950
2021-08-07,47,203.00369954109192,2784.3109703063965,13.0,13,1.0028595350524179,1.3309297561645508,0.807161271572113,4207,2634511
2021-08-08,65,292.32364678382874,4711.405849456787,33.0,22,1.1188543246308909,2.2799575328826904,0.8384550213813782,6628,3793674
2021-08-09,230,1043.6322036385536,17660.211292266846,218.0,189,1.251904026385876,1.6754399538040161,0.9493082165718079,24894,13543894
2021-08-10,272,1246.3164725899696,20141.072161197662,244.0,244,1.1176780238020536,1.509225606918335,0.8711271286010742,28862,16174259
2021-08-11,158,716.734847009182,12557.97056722641,132.0,132,1.2083326135149335,1.5705822706222534,0.8653236627578735,17506,9301534
2021-08-12,219,994.940881729126,15546.124160766602,165.0,165,1.1260091844927385,1.3716391324996948,0.7749642133712769,22485,12911995
2021-08-13,224,1024.162592113018,16912.568365097046,200.0,200,1.2108167630420619,1.5598325729370117,1.028032660484314,24074,13291224
2021-08-14,169,764.7859373092651,12273.096920490265,126.0,126,1.1454532105368063,1.408312439918518,0.9230925440788269,17608,9925124
2021-08-15,249,1050.0796929299831,18246.58311843872,226.0,217,1.2162937771161118,1.736853837966919,0.8993056416511536,26143,13627567
2021-08-16,75,344.45882791280746,4825.1366357803345,49.0,49,0.9478821592374843,1.3131028413772583,0.6982712149620056,7182,4470266
